Shot,Coordinate,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10,Layer 11,Layer 12,Layer 13,Layer 14,Layer 15,Layer 16,Layer 17,Layer 18,Layer 19,Layer 20
28,XH,,,,,,,,,,,,,,,,,,,,
28,YH,,,,,,,,,,,,,,,,,,,,
29,X1,,,,,,,,,,,,,,,,,,,,
29,Y1,,,,,,,,,,,,,,,,,,,,
29,X2,,,,,,,,,,,,,,,,,,,,
29,Y2,,,,,,,,,,,,,,,,,,,,
29,XH,,,,,,,,,,,,,,,,,,,,
29,YH,,,,,,,,,,,,,,,,,,,,
30,X1,,,,,,,,,,,,,,,,,,,,
30,Y1,,,,,,,,,,,,,,,,,,,,
30,X2,,,,,,,,,,,,,,,,,,,,
30,Y2,,,,,,,,,,,,,,,,,,,,
30,XH,,,,,,,,,,,,,,,,,,,,
30,YH,,,,,,,,,,,,,,,,,,,,
31,X1,,,,,,,,,,,,,,,,,,,,
31,Y1,,,,,,,,,,,,,,,,,,,,
31,X2,,,,,,,,,,,,,,,,,,,,
31,Y2,,,,,,,,,,,,,,,,,,,,
31,XH,,,,,,,,,,,,,,,,,,,,
31,YH,,,,,,,,,,,,,,,,,,,,
32,X1,,,,,,,,,,,,,,,,,,,,
32,Y1,,,,,,,,,,,,,,,,,,,,
32,X2,,,,,,,,,,,,,,,,,,,,
32,Y2,,,,,,,,,,,,,,,,,,,,
32,XH,,,,,,,,,,,,,,,,,,,,
32,YH,,,,,,,,,,,,,,,,,,,,
33,X1,,,,,,,,,,,,,,,,,,,,
33,Y1,,,,,,,,,,,,,,,,,,,,
33,X2,,,,,,,,,,,,,,,,,,,,
33,Y2,,,,,,,,,,,,,,,,,,,,
33,XH,,,,,,,,,,,,,,,,,,,,
33,YH,,,,,,,,,,,,,,,,,,,,
34,X1,,,,,,,,,,,,,,,,,,,,
34,Y1,,,,,,,,,,,,,,,,,,,,
34,X2,,,,,,,,,,,,,,,,,,,,
34,Y2,,,,,,,,,,,,,,,,,,,,
34,XH,,,,,,,,,,,,,,,,,,,,
34,YH,,,,,,,,,,,,,,,,,,,,
35,X1,,,,,,,,,,,,,,,,,,,,
35,Y1,,,,,,,,,,,,,,,,,,,,
35,X2,,,,,,,,,,,,,,,,,,,,
35,Y2,,,,,,,,,,,,,,,,,,,,
35,XH,,,,,,,,,,,,,,,,,,,,
35,YH,,,,,,,,,,,,,,,,,,,,
36,X1,,,,,,,,,,,,,,,,,,,,
36,Y1,,,,,,,,,,,,,,,,,,,,
36,X2,,,,,,,,,,,,,,,,,,,,
36,Y2,,,,,,,,,,,,,,,,,,,,
36,XH,,,,,,,,,,,,,,,,,,,,
36,YH,,,,,,,,,,,,,,,,,,,,
37,X1,,,,,,,,,,,,,,,,,,,,
37,Y1,,,,,,,,,,,,,,,,,,,,
37,X2,,,,,,,,,,,,,,,,,,,,
37,Y2,,,,,,,,,,,,,,,,,,,,
37,XH,,,,,,,,,,,,,,,,,,,,
37,YH,,,,,,,,,,,,,,,,,,,,
38,X1,,,,,,,,,,,,,,,,,,,,
38,Y1,,,,,,,,,,,,,,,,,,,,
38,X2,,,,,,,,,,,,,,,,,,,,
38,Y2,,,,,,,,,,,,,,,,,,,,
38,XH,,,,,,,,,,,,,,,,,,,,
38,YH,,,,,,,,,,,,,,,,,,,,
39,X1,,,,,,,,,,,,,,,,,,,,
39,Y1,,,,,,,,,,,,,,,,,,,,
39,X2,,,,,,,,,,,,,,,,,,,,
39,Y2,,,,,,,,,,,,,,,,,,,,
39,XH,,,,,,,,,,,,,,,,,,,,
39,YH,,,,,,,,,,,,,,,,,,,,
40,X1,,,,,,,,,,,,,,,,,,,,
40,Y1,,,,,,,,,,,,,,,,,,,,
40,X2,,,,,,,,,,,,,,,,,,,,
40,Y2,,,,,,,,,,,,,,,,,,,,
40,XH,,,,,,,,,,,,,,,,,,,,
40,YH,,,,,,,,,,,,,,,,,,,,
41,X1,,,,,,,,,,,,,,,,,,,,
41,Y1,,,,,,,,,,,,,,,,,,,,
41,X2,,,,,,,,,,,,,,,,,,,,
41,Y2,,,,,,,,,,,,,,,,,,,,
41,XH,,,,,,,,,,,,,,,,,,,,
41,YH,,,,,,,,,,,,,,,,,,,,
42,X1,,,,,,,,,,,,,,,,,,,,
42,Y1,,,,,,,,,,,,,,,,,,,,
42,X2,,,,,,,,,,,,,,,,,,,,
42,Y2,,,,,,,,,,,,,,,,,,,,
42,XH,,,,,,,,,,,,,,,,,,,,
42,YH,,,,,,,,,,,,,,,,,,,,
43,X1,,,,,,,,,,,,,,,,,,,,
43,Y1,,,,,,,,,,,,,,,,,,,,
43,X2,,,,,,,,,,,,,,,,,,,,
43,Y2,,,,,,,,,,,,,,,,,,,,
43,XH,,,,,,,,,,,,,,,,,,,,
43,YH,,,,,,,,,,,,,,,,,,,,
44,X1,,,,,,,,,,,,,,,,,,,,
44,Y1,,,,,,,,,,,,,,,,,,,,
44,X2,,,,,,,,,,,,,,,,,,,,
44,Y2,,,,,,,,,,,,,,,,,,,,
44,XH,,,,,,,,,,,,,,,,,,,,
44,YH,,,,,,,,,,,,,,,,,,,,
45,X1,,,,,,,,,,,,,,,,,,,,
45,Y1,,,,,,,,,,,,,,,,,,,,
45,X2,,,,,,,,,,,,,,,,,,,,
45,Y2,,,,,,,,,,,,,,,,,,,,
45,XH,,,,,,,,,,,,,,,,,,,,
45,YH,,,,,,,,,,,,,,,,,,,,
46,X1,,,,,,,,,,,,,,,,,,,,
46,Y1,,,,,,,,,,,,,,,,,,,,
46,X2,,,,,,,,,,,,,,,,,,,,
46,Y2,,,,,,,,,,,,,,,,,,,,
46,XH,,,,,,,,,,,,,,,,,,,,
46,YH,,,,,,,,,,,,,,,,,,,,
47,X1,,,,,,,,,,,,,,,,,,,,
47,Y1,,,,,,,,,,,,,,,,,,,,
47,X2,,,,,,,,,,,,,,,,,,,,
47,Y2,,,,,,,,,,,,,,,,,,,,
47,XH,,,,,,,,,,,,,,,,,,,,
47,YH,,,,,,,,,,,,,,,,,,,,
48,X1,,,,,,,,,,,,,,,,,,,,
48,Y1,,,,,,,,,,,,,,,,,,,,
48,X2,,,,,,,,,,,,,,,,,,,,
48,Y2,,,,,,,,,,,,,,,,,,,,
48,XH,,,,,,,,,,,,,,,,,,,,
48,YH,,,,,,,,,,,,,,,,,,,,
49,X1,,,,,,,,,,,,,,,,,,,,
49,Y1,,,,,,,,,,,,,,,,,,,,
49,X2,,,,,,,,,,,,,,,,,,,,
49,Y2,,,,,,,,,,,,,,,,,,,,
49,XH,,,,,,,,,,,,,,,,,,,,
49,YH,,,,,,,,,,,,,,,,,,,,
50,X1,,,,,,,,,,,,,,,,,,,,
50,Y1,,,,,,,,,,,,,,,,,,,,
50,X2,,,,,,,,,,,,,,,,,,,,
50,Y2,,,,,,,,,,,,,,,,,,,,
50,XH,,,,,,,,,,,,,,,,,,,,
50,YH,,,,,,,,,,,,,,,,,,,,
